Localidad;Condiciones de vida;Porcentaje
Usaquen;Muy Bueno;27,45
Usaquen;Bueno;62,86
Usaquen;Regular;8,87
Usaquen;Malo;0,68
Usaquen;Muy Malo;0,13
Chapinero;Muy Bueno;28,87
Chapinero;Bueno;65,18
Chapinero;Regular;5,35
Chapinero;Malo;0,32
Chapinero;Muy Malo;0,27
Santa fe;Muy Bueno;18,37
Santa fe;Bueno;67,73
Santa fe;Regular;12,34
Santa fe;Malo;1,42
Santa fe;Muy Malo;0,14
San Cristobal;Muy Bueno;9,3
San Cristobal;Bueno;77,4
San Cristobal;Regular;12
San Cristobal;Malo;1,18
San Cristobal;Muy Malo;0,11
Usme;Muy Bueno;17,03
Usme;Bueno;71,68
Usme;Regular;10,18
Usme;Malo;0,88
Usme;Muy Malo;0,24
Tunjuelito;Muy Bueno;14,74
Tunjuelito;Bueno;70,29
Tunjuelito;Regular;12,94
Tunjuelito;Malo;1,63
Tunjuelito;Muy Malo;0,4
Bosa;Muy Bueno;16,24
Bosa;Bueno;71,65
Bosa;Regular;11,11
Bosa;Malo;0,89
Bosa;Muy Malo;0,11
Kennedy;Muy Bueno;10,85
Kennedy;Bueno;77
Kennedy;Regular;10,81
Kennedy;Malo;0,99
Kennedy;Muy Malo;0,34
Fontibon;Muy Bueno;18,16
Fontibon;Bueno;71,72
Fontibon;Regular;9,37
Fontibon;Malo;0,63
Fontibon;Muy Malo;0,13
Engativa;Muy Bueno;15,22
Engativa;Bueno;72,88
Engativa;Regular;10,89
Engativa;Malo;0,87
Engativa;Muy Malo;0,14
Suba;Muy Bueno;18,72
Suba;Bueno;69,24
Suba;Regular;11,08
Suba;Malo;0,84
Suba;Muy Malo;0,12
Barrios Unidos;Muy Bueno;20,53
Barrios Unidos;Bueno;66,61
Barrios Unidos;Regular;11,64
Barrios Unidos;Malo;1,08
Barrios Unidos;Muy Malo;0,15
Teusaquillo;Muy Bueno;29,29
Teusaquillo;Bueno;62,14
Teusaquillo;Regular;7,89
Teusaquillo;Malo;0,58
Teusaquillo;Muy Malo;0,09
Los Martires;Muy Bueno;11,42
Los Martires;Bueno;77,26
Los Martires;Regular;10,22
Los Martires;Malo;0,84
Los Martires;Muy Malo;0,26
Antonio Nariño;Muy Bueno;22,31
Antonio Nariño;Bueno;65,74
Antonio Nariño;Regular;10,06
Antonio Nariño;Malo;1,62
Antonio Nariño;Muy Malo;0,27
Puente Aranda;Muy Bueno;19,07
Puente Aranda;Bueno;67,32
Puente Aranda;Regular;11,63
Puente Aranda;Malo;1,04
Puente Aranda;Muy Malo;0,94
La Candelaria;Muy Bueno;14,94
La Candelaria;Bueno;70,31
La Candelaria;Regular;13,29
La Candelaria;Malo;1,39
La Candelaria;Muy Malo;0,08
Rafael Uribe Uribe;Muy Bueno;14,02
Rafael Uribe Uribe;Bueno;73,13
Rafael Uribe Uribe;Regular;11,75
Rafael Uribe Uribe;Malo;1,01
Rafael Uribe Uribe;Muy Malo;0,08
Ciudad Bolivar;Muy Bueno;14,05
Ciudad Bolivar;Bueno;72,92
Ciudad Bolivar;Regular;11,71
Ciudad Bolivar;Malo;1,09
Ciudad Bolivar;Muy Malo;0,23
Sumapaz;Muy Bueno;5,68
Sumapaz;Bueno;59,98
Sumapaz;Regular;31,41
Sumapaz;Malo;2,44
Sumapaz;Muy Malo;0,49
Bogotá D.C.;Muy Bueno;16,52
Bogotá D.C.;Bueno;71,51
Bogotá D.C.;Regular;10,83
Bogotá D.C.;Malo;0,94
Bogotá D.C.;Muy Malo;0,2
