Área;Año;Grupo de edad;Sexo;Casos
Usaquén;2015;05 a 09;Hombre;0
Usaquén;2015;10 a 14;Hombre;1
Usaquén;2015;15 a 17;Hombre;1
Usaquén;2015;18 a 19;Hombre;2
Usaquén;2015;20 a 24;Hombre;6
Usaquén;2015;25 a 29;Hombre;4
Usaquén;2015;30 a 34;Hombre;1
Usaquén;2015;35 a 39;Hombre;3
Usaquén;2015;40 a 44;Hombre;2
Usaquén;2015;45 a 49;Hombre;0
Usaquén;2015;50 a 54;Hombre;1
Usaquén;2015;55 a 59;Hombre;1
Usaquén;2015;60 a 64;Hombre;0
Usaquén;2015;65 a 69;Hombre;0
Usaquén;2015;70 a 74;Hombre;0
Usaquén;2015;75 a 79;Hombre;0
Usaquén;2015;80 y más;Hombre;0
Usaquén;2015;Todos los grupos;Hombre;22
Usaquén;2015;05 a 09;Mujer;0
Usaquén;2015;10 a 14;Mujer;0
Usaquén;2015;15 a 17;Mujer;0
Usaquén;2015;18 a 19;Mujer;0
Usaquén;2015;20 a 24;Mujer;2
Usaquén;2015;25 a 29;Mujer;0
Usaquén;2015;30 a 34;Mujer;0
Usaquén;2015;35 a 39;Mujer;0
Usaquén;2015;40 a 44;Mujer;0
Usaquén;2015;45 a 49;Mujer;0
Usaquén;2015;50 a 54;Mujer;0
Usaquén;2015;55 a 59;Mujer;2
Usaquén;2015;60 a 64;Mujer;0
Usaquén;2015;65 a 69;Mujer;0
Usaquén;2015;70 a 74;Mujer;0
Usaquén;2015;75 a 79;Mujer;0
Usaquén;2015;80 y más;Mujer;0
Usaquén;2015;Todos los grupos;Mujer;4
Chapinero;2015;05 a 09;Hombre;0
Chapinero;2015;10 a 14;Hombre;0
Chapinero;2015;15 a 17;Hombre;0
Chapinero;2015;18 a 19;Hombre;1
Chapinero;2015;20 a 24;Hombre;0
Chapinero;2015;25 a 29;Hombre;1
Chapinero;2015;30 a 34;Hombre;1
Chapinero;2015;35 a 39;Hombre;0
Chapinero;2015;40 a 44;Hombre;0
Chapinero;2015;45 a 49;Hombre;1
Chapinero;2015;50 a 54;Hombre;1
Chapinero;2015;55 a 59;Hombre;1
Chapinero;2015;60 a 64;Hombre;1
Chapinero;2015;65 a 69;Hombre;1
Chapinero;2015;70 a 74;Hombre;0
Chapinero;2015;75 a 79;Hombre;0
Chapinero;2015;80 y más;Hombre;0
Chapinero;2015;Todos los grupos;Hombre;8
Chapinero;2015;05 a 09;Mujer;0
Chapinero;2015;10 a 14;Mujer;
Chapinero;2015;15 a 17;Mujer;
Chapinero;2015;18 a 19;Mujer;
Chapinero;2015;20 a 24;Mujer;
Chapinero;2015;25 a 29;Mujer;
Chapinero;2015;30 a 34;Mujer;
Chapinero;2015;35 a 39;Mujer;1
Chapinero;2015;40 a 44;Mujer;
Chapinero;2015;45 a 49;Mujer;
Chapinero;2015;50 a 54;Mujer;
Chapinero;2015;55 a 59;Mujer;
Chapinero;2015;60 a 64;Mujer;
Chapinero;2015;65 a 69;Mujer;2
Chapinero;2015;70 a 74;Mujer;
Chapinero;2015;75 a 79;Mujer;
Chapinero;2015;80 y más;Mujer;
Chapinero;2015;Todos los grupos;Mujer;3
Santa Fe;2015;05 a 09;Hombre;
Santa Fe;2015;10 a 14;Hombre;
Santa Fe;2015;15 a 17;Hombre;
Santa Fe;2015;18 a 19;Hombre;
Santa Fe;2015;20 a 24;Hombre;
Santa Fe;2015;25 a 29;Hombre;4
Santa Fe;2015;30 a 34;Hombre;4
Santa Fe;2015;35 a 39;Hombre;
Santa Fe;2015;40 a 44;Hombre;
Santa Fe;2015;45 a 49;Hombre;
Santa Fe;2015;50 a 54;Hombre;1
Santa Fe;2015;55 a 59;Hombre;
Santa Fe;2015;60 a 64;Hombre;
Santa Fe;2015;65 a 69;Hombre;
Santa Fe;2015;70 a 74;Hombre;
Santa Fe;2015;75 a 79;Hombre;
Santa Fe;2015;80 y más;Hombre;
Santa Fe;2015;Todos los grupos;Hombre;9
Santa Fe;2015;05 a 09;Mujer;0
Santa Fe;2015;10 a 14;Mujer;0
Santa Fe;2015;15 a 17;Mujer;0
Santa Fe;2015;18 a 19;Mujer;0
Santa Fe;2015;20 a 24;Mujer;0
Santa Fe;2015;25 a 29;Mujer;0
Santa Fe;2015;30 a 34;Mujer;1
Santa Fe;2015;35 a 39;Mujer;0
Santa Fe;2015;40 a 44;Mujer;0
Santa Fe;2015;45 a 49;Mujer;0
Santa Fe;2015;50 a 54;Mujer;0
Santa Fe;2015;55 a 59;Mujer;0
Santa Fe;2015;60 a 64;Mujer;0
Santa Fe;2015;65 a 69;Mujer;0
Santa Fe;2015;70 a 74;Mujer;0
Santa Fe;2015;75 a 79;Mujer;0
Santa Fe;2015;80 y más;Mujer;0
Santa Fe;2015;Todos los grupos;Mujer;1
San Cristóbal;2015;05 a 09;Hombre;0
San Cristóbal;2015;10 a 14;Hombre;0
San Cristóbal;2015;15 a 17;Hombre;0
San Cristóbal;2015;18 a 19;Hombre;0
San Cristóbal;2015;20 a 24;Hombre;5
San Cristóbal;2015;25 a 29;Hombre;1
San Cristóbal;2015;30 a 34;Hombre;1
San Cristóbal;2015;35 a 39;Hombre;1
San Cristóbal;2015;40 a 44;Hombre;2
San Cristóbal;2015;45 a 49;Hombre;1
San Cristóbal;2015;50 a 54;Hombre;0
San Cristóbal;2015;55 a 59;Hombre;1
San Cristóbal;2015;60 a 64;Hombre;0
San Cristóbal;2015;65 a 69;Hombre;1
San Cristóbal;2015;70 a 74;Hombre;1
San Cristóbal;2015;75 a 79;Hombre;0
San Cristóbal;2015;80 y más;Hombre;0
San Cristóbal;2015;Todos los grupos;Hombre;14
San Cristóbal;2015;05 a 09;Mujer;0
San Cristóbal;2015;10 a 14;Mujer;0
San Cristóbal;2015;15 a 17;Mujer;0
San Cristóbal;2015;18 a 19;Mujer;1
San Cristóbal;2015;20 a 24;Mujer;0
San Cristóbal;2015;25 a 29;Mujer;0
San Cristóbal;2015;30 a 34;Mujer;1
San Cristóbal;2015;35 a 39;Mujer;0
San Cristóbal;2015;40 a 44;Mujer;0
San Cristóbal;2015;45 a 49;Mujer;1
San Cristóbal;2015;50 a 54;Mujer;0
San Cristóbal;2015;55 a 59;Mujer;0
San Cristóbal;2015;60 a 64;Mujer;0
San Cristóbal;2015;65 a 69;Mujer;0
San Cristóbal;2015;70 a 74;Mujer;0
San Cristóbal;2015;75 a 79;Mujer;0
San Cristóbal;2015;80 y más;Mujer;0
San Cristóbal;2015;Todos los grupos;Mujer;3
Usme;2015;05 a 09;Hombre;0
Usme;2015;10 a 14;Hombre;0
Usme;2015;15 a 17;Hombre;0
Usme;2015;18 a 19;Hombre;1
Usme;2015;20 a 24;Hombre;2
Usme;2015;25 a 29;Hombre;2
Usme;2015;30 a 34;Hombre;1
Usme;2015;35 a 39;Hombre;0
Usme;2015;40 a 44;Hombre;0
Usme;2015;45 a 49;Hombre;0
Usme;2015;50 a 54;Hombre;1
Usme;2015;55 a 59;Hombre;3
Usme;2015;60 a 64;Hombre;0
Usme;2015;65 a 69;Hombre;0
Usme;2015;70 a 74;Hombre;0
