a¤o;area;type_violen;sexo;n_casos;poblacion;tasa_x100h
2012;Bosa;Abandono;Total general;319;597522;53.4
2012;Los Mártires;Abandono;Total general;35;98209;35.6
2012;Chapinero;Abandono;Total general;22;135160;16.3
2012;Tunjuelito;Abandono;Total general;19;201593;9.4
2012;Barrios Unidos;Abandono;Total general;46;234948;19.6
2012;Suba;Abandono;Total general;212;1094488;19.4
2012;Rafael Uribe Uribe;Abandono;Total general;124;377272;32.9
2012;Santa Fe;Abandono;Total general;48;109955;43.7
2012;Distrito;Abandono;Total general;2236;7571345;29.5
2012;Engativá;Abandono;Total general;304;851299;35.7
2012;Usaquén;Abandono;Total general;129;479830;26.9
2012;Ciudad Bolívar;Abandono;Total general;212;651586;32.5
2012;Fontibón;Abandono;Total general;109;353859;30.8
2012;Teusaquillo;Abandono;Total general;19;147933;12.8
2012;Usme;Abandono;Total general;142;400686;35.4
2012;San Cristóbal;Abandono;Total general;195;409257;47.6
2012;Puente Aranda;Abandono;Total general;52;258212;20.1
2012;La Candelaria;Abandono;Total general;13;24160;53.8
2012;Kennedy;Abandono;Total general;152;1030623;14.7
2012;Antonio Nariño;Abandono;Total general;19;108457;17.5
2012;Sumapaz;Abandono;Total general;20;6296;317.7
2012;Engativá;Económica;Total general;407;851299;47.8
2012;Santa Fe;Económica;Total general;31;109955;28.2
2012;Fontibón;Económica;Total general;64;353859;18.1
2012;Los Mártires;Económica;Total general;27;98209;27.5
2012;Puente Aranda;Económica;Total general;13;258212;5
2012;Ciudad Bolívar;Económica;Total general;102;651586;15.7
2012;Usme;Económica;Total general;71;400686;17.7
2012;Usaquén;Económica;Total general;330;479830;68.8
2012;Antonio Nariño;Económica;Total general;11;108457;10.1
2012;Barrios Unidos;Económica;Total general;30;234948;12.8
2012;Suba;Económica;Total general;210;1094488;19.2
2012;Sumapaz;Económica;Total general;26;6296;413
2012;Chapinero;Económica;Total general;35;135160;25.9
2012;Rafael Uribe Uribe;Económica;Total general;84;377272;22.3
2012;Bosa;Económica;Total general;197;597522;33
2012;La Candelaria;Económica;Total general;9;24160;37.3
2012;San Cristóbal;Económica;Total general;46;409257;11.2
2012;Teusaquillo;Económica;Total general;15;147933;10.1
2012;Tunjuelito;Económica;Total general;9;201593;4.5
2012;Kennedy;Económica;Total general;105;1030623;10.2
2012;Distrito;Económica;Total general;1858;7571345;24.5
2012;Sumapaz;Emocional;Total general;170;6296;2700.1
2012;Rafael Uribe Uribe;Emocional;Total general;1862;377272;493.5
2012;Santa Fe;Emocional;Total general;651;109955;592.1
2012;Fontibón;Emocional;Total general;972;353859;274.7
2012;La Candelaria;Emocional;Total general;95;24160;393.2
2012;San Cristóbal;Emocional;Total general;2173;409257;531
2012;Usme;Emocional;Total general;2508;400686;625.9
2012;Chapinero;Emocional;Total general;256;135160;189.4
2012;Ciudad Bolívar;Emocional;Total general;2887;651586;443.1
2012;Distrito;Emocional;Total general;29379;7571345;388
2012;Engativá;Emocional;Total general;2867;851299;336.8
2012;Kennedy;Emocional;Total general;2641;1030623;256.3
2012;Los Mártires;Emocional;Total general;471;98209;479.6
2012;Tunjuelito;Emocional;Total general;538;201593;266.9
2012;Barrios Unidos;Emocional;Total general;378;234948;160.9
2012;Puente Aranda;Emocional;Total general;640;258212;247.9
2012;Antonio Nariño;Emocional;Total general;281;108457;259.1
2012;Usaquén;Emocional;Total general;2042;479830;425.6
2012;Suba;Emocional;Total general;2828;1094488;258.4
2012;Bosa;Emocional;Total general;4274;597522;715.3
2012;Teusaquillo;Emocional;Total general;177;147933;119.6
2012;Antonio Nariño;Física;Total general;59;108457;54.4
2012;Tunjuelito;Física;Total general;195;201593;96.7
2012;Sumapaz;Física;Total general;24;6296;381.2
