localidad;year;grupo_de_edad;sexo;casos;grupo_etario;poblacion;tasa_por_100000
usaquen;2015;05 a 09;Hombre;0;Niño;;
usaquen;2015;10 a 14;Hombre;1;Niño;;
usaquen;2015;15 a 17;Hombre;1;Joven;;
usaquen;2015;18 a 19;Hombre;2;Joven;;
usaquen;2015;20 a 24;Hombre;6;Joven;;
usaquen;2015;25 a 29;Hombre;4;Adulto;;
usaquen;2015;30 a 34;Hombre;1;Adulto;;
usaquen;2015;35 a 39;Hombre;3;Adulto;;
usaquen;2015;40 a 44;Hombre;2;Adulto;;
usaquen;2015;45 a 49;Hombre;0;Adulto;;
usaquen;2015;50 a 54;Hombre;1;Adulto;;
usaquen;2015;55 a 59;Hombre;1;Adulto;;
usaquen;2015;60 a 64;Hombre;0;Adulto Mayor;;
usaquen;2015;65 a 69;Hombre;0;Adulto Mayor;;
usaquen;2015;70 a 74;Hombre;0;Adulto Mayor;;
usaquen;2015;75 a 79;Hombre;0;Adulto Mayor;;
usaquen;2015;80 y más;Hombre;0;Adulto Mayor;;
usaquen;2015;Todos los grupos;Hombre;22;;229094.0;9.603045038281229
usaquen;2015;05 a 09;Mujer;0;Niño;;
usaquen;2015;10 a 14;Mujer;0;Niño;;
usaquen;2015;15 a 17;Mujer;0;Joven;;
usaquen;2015;18 a 19;Mujer;0;Joven;;
usaquen;2015;20 a 24;Mujer;2;Joven;;
usaquen;2015;25 a 29;Mujer;0;Adulto;;
usaquen;2015;30 a 34;Mujer;0;Adulto;;
usaquen;2015;35 a 39;Mujer;0;Adulto;;
usaquen;2015;40 a 44;Mujer;0;Adulto;;
usaquen;2015;45 a 49;Mujer;0;Adulto;;
usaquen;2015;50 a 54;Mujer;0;Adulto;;
usaquen;2015;55 a 59;Mujer;2;Adulto;;
usaquen;2015;60 a 64;Mujer;0;Adulto Mayor;;
usaquen;2015;65 a 69;Mujer;0;Adulto Mayor;;
usaquen;2015;70 a 74;Mujer;0;Adulto Mayor;;
usaquen;2015;75 a 79;Mujer;0;Adulto Mayor;;
usaquen;2015;80 y más;Mujer;0;Adulto Mayor;;
usaquen;2015;Todos los grupos;Mujer;4;;264972.0;1.509593466479477
chapinero;2015;05 a 09;Hombre;0;Niño;;
chapinero;2015;10 a 14;Hombre;0;Niño;;
chapinero;2015;15 a 17;Hombre;0;Joven;;
chapinero;2015;18 a 19;Hombre;1;Joven;;
chapinero;2015;20 a 24;Hombre;0;Joven;;
chapinero;2015;25 a 29;Hombre;1;Adulto;;
chapinero;2015;30 a 34;Hombre;1;Adulto;;
chapinero;2015;35 a 39;Hombre;0;Adulto;;
chapinero;2015;40 a 44;Hombre;0;Adulto;;
chapinero;2015;45 a 49;Hombre;1;Adulto;;
chapinero;2015;50 a 54;Hombre;1;Adulto;;
chapinero;2015;55 a 59;Hombre;1;Adulto;;
chapinero;2015;60 a 64;Hombre;1;Adulto Mayor;;
chapinero;2015;65 a 69;Hombre;1;Adulto Mayor;;
chapinero;2015;70 a 74;Hombre;0;Adulto Mayor;;
chapinero;2015;75 a 79;Hombre;0;Adulto Mayor;;
chapinero;2015;80 y más;Hombre;0;Adulto Mayor;;
chapinero;2015;Todos los grupos;Hombre;8;;64685.0;12.367627734405193
chapinero;2015;05 a 09;Mujer;0;Niño;;
chapinero;2015;10 a 14;Mujer;0;Niño;;
chapinero;2015;15 a 17;Mujer;0;Joven;;
chapinero;2015;18 a 19;Mujer;0;Joven;;
chapinero;2015;20 a 24;Mujer;0;Joven;;
chapinero;2015;25 a 29;Mujer;0;Adulto;;
