year;localidad;tipo_de_violencia;sexo;no_casos;poblacion;tasa_por_100000
2012;usaquen;Intrafamiliar;Total general;2042.0;479830;425.6
2012;chapinero;Intrafamiliar;Total general;256.0;135160;189.4
2012;santa fe;Intrafamiliar;Total general;651.0;109955;592.1
2012;san cristobal;Intrafamiliar;Total general;2173.0;409257;531.0
2012;usme;Intrafamiliar;Total general;2508.0;400686;625.9
2012;tunjuelito;Intrafamiliar;Total general;538.0;201593;266.9
2012;bosa;Intrafamiliar;Total general;4274.0;597522;715.3
2012;kennedy;Intrafamiliar;Total general;2641.0;1030623;256.3
2012;fontibon;Intrafamiliar;Total general;972.0;353859;274.7
2012;engativa;Intrafamiliar;Total general;2867.0;851299;336.8
2012;suba;Intrafamiliar;Total general;2828.0;1094488;258.4
2012;barrios unidos;Intrafamiliar;Total general;378.0;234948;160.9
2012;teusaquillo;Intrafamiliar;Total general;177.0;147933;119.6
2012;los martires;Intrafamiliar;Total general;471.0;98209;479.6
2012;antonio narino;Intrafamiliar;Total general;281.0;108457;259.1
2012;puente aranda;Intrafamiliar;Total general;640.0;258212;247.9
2012;la candelaria;Intrafamiliar;Total general;95.0;24160;393.2
2012;rafael uribe uribe;Intrafamiliar;Total general;1862.0;377272;493.5
2012;ciudad bolivar;Intrafamiliar;Total general;2887.0;651586;443.1
2012;sumapaz;Intrafamiliar;Total general;170.0;6296;2700.1
2012;distrito;Intrafamiliar;Total general;28711.0;7571345;379.2
2013;usaquen;Intrafamiliar;Total general;2609.0;484764;538.2
2013;chapinero;Intrafamiliar;Total general;291.0;136352;213.4
2013;santa fe;Intrafamiliar;Total general;506.0;109945;460.2
2013;san cristobal;Intrafamiliar;Total general;2612.0;408477;639.4
2013;usme;Intrafamiliar;Total general;2800.0;415898;673.2
2013;tunjuelito;Intrafamiliar;Total general;676.0;201230;335.9
2013;bosa;Intrafamiliar;Total general;4729.0;612754;771.8
2013;kennedy;Intrafamiliar;Total general;2672.0;1042080;256.4
2013;fontibon;Intrafamiliar;Total general;944.0;362167;260.7
2013;engativa;Intrafamiliar;Total general;2950.0;858935;343.4
2013;suba;Intrafamiliar;Total general;2850.0;1120342;254.4
2013;barrios unidos;Intrafamiliar;Total general;457.0;236433;193.3
2013;teusaquillo;Intrafamiliar;Total general;191.0;149166;128.0
2013;los martires;Intrafamiliar;Total general;435.0;98450;441.8
2013;antonio narino;Intrafamiliar;Total general;297.0;108607;273.5
2013;puente aranda;Intrafamiliar;Total general;612.0;258102;237.1
2013;la candelaria;Intrafamiliar;Total general;81.0;24160;335.3
2013;rafael uribe uribe;Intrafamiliar;Total general;1640.0;376767;435.3
2013;ciudad bolivar;Intrafamiliar;Total general;2548.0;663397;384.1
2013;sumapaz;Intrafamiliar;Total general;193.0;6340;3044.2
2013;distrito;Intrafamiliar;Total general;30093.0;7674366;392.1
2014;usaquen;Intrafamiliar;Total general;2760.0;489526;563.8
2014;chapinero;Intrafamiliar;Total general;334.0;137281;243.3
2014;santa fe;Intrafamiliar;Total general;619.0;109974;562.9
2014;san cristobal;Intrafamiliar;Total general;3075.0;407416;754.8
2014;usme;Intrafamiliar;Total general;3105.0;427090;727.0
2014;tunjuelito;Intrafamiliar;Total general;738.0;200725;367.7
2014;bosa;Intrafamiliar;Total general;5243.0;629066;833.5
2014;kennedy;Intrafamiliar;Total general;3287.0;1054850;311.6
2014;fontibon;Intrafamiliar;Total general;1335.0;370976;359.9
2014;engativa;Intrafamiliar;Total general;2497.0;866719;288.1
2014;suba;Intrafamiliar;Total general;3180.0;1146985;277.2
2014;barrios unidos;Intrafamiliar;Total general;595.0;238380;249.6
2014;teusaquillo;Intrafamiliar;Total general;202.0;150236;134.5
2014;los martires;Intrafamiliar;Total general;442.0;98637;448.1
2014;antonio narino;Intrafamiliar;Total general;372.0;108766;342.0
2014;puente aranda;Intrafamiliar;Total general;617.0;258154;239.0
2014;la candelaria;Intrafamiliar;Total general;94.0;24140;389.4
2014;rafael uribe uribe;Intrafamiliar;Total general;1802.0;376060;479.2
2014;ciudad bolivar;Intrafamiliar;Total general;2967.0;675471;439.2
2014;sumapaz;Intrafamiliar;Total general;173.0;6393;2706.1
2014;distrito;Intrafamiliar;Total general;33437.0;7776845;430.0
2015;usaquen;Intrafamiliar;Total general;2798.0;494066;566.3
2015;chapinero;Intrafamiliar;Total general;421.0;137870;305.4
2015;santa fe;Intrafamiliar;Total general;637.0;110053;578.8
2015;san cristobal;Intrafamiliar;Total general;2884.0;406025;710.3
2015;usme;Intrafamiliar;Total general;2944.0;432724;680.3
2015;tunjuelito;Intrafamiliar;Total general;626.0;200048;312.9
2015;bosa;Intrafamiliar;Total general;5225.0;646833;807.8
2015;kennedy;Intrafamiliar;Total general;3830.0;1069469;358.1
2015;fontibon;Intrafamiliar;Total general;1232.0;380453;323.8
2015;engativa;Intrafamiliar;Total general;2388.0;874755;273.0
