localidad,condiciones_de_vida,porcentaje
usaquen,muy bueno,27.45
usaquen,bueno,62.86
usaquen,regular,8.87
usaquen,malo,0.68
usaquen,muy malo,0.13
chapinero,muy bueno,28.87
chapinero,bueno,65.18
chapinero,regular,5.35
chapinero,malo,0.32
chapinero,muy malo,0.27
santa fe,muy bueno,18.37
santa fe,bueno,67.73
santa fe,regular,12.34
santa fe,malo,1.42
santa fe,muy malo,0.14
san cristobal,muy bueno,9.3
san cristobal,bueno,77.4
san cristobal,regular,12.0
san cristobal,malo,1.18
san cristobal,muy malo,0.11
usme,muy bueno,17.03
usme,bueno,71.68
usme,regular,10.18
usme,malo,0.88
usme,muy malo,0.24
tunjuelito,muy bueno,14.74
tunjuelito,bueno,70.29
tunjuelito,regular,12.94
tunjuelito,malo,1.63
tunjuelito,muy malo,0.4
bosa,muy bueno,16.24
bosa,bueno,71.65
bosa,regular,11.11
bosa,malo,0.89
bosa,muy malo,0.11
kennedy,muy bueno,10.85
kennedy,bueno,77.0
kennedy,regular,10.81
kennedy,malo,0.99
kennedy,muy malo,0.34
fontibon,muy bueno,18.16
fontibon,bueno,71.72
fontibon,regular,9.37
fontibon,malo,0.63
fontibon,muy malo,0.13
engativa,muy bueno,15.22
engativa,bueno,72.88
engativa,regular,10.89
engativa,malo,0.87
engativa,muy malo,0.14
suba,muy bueno,18.72
suba,bueno,69.24
suba,regular,11.08
suba,malo,0.84
suba,muy malo,0.12
barrios unidos,muy bueno,20.53
barrios unidos,bueno,66.61
barrios unidos,regular,11.64
barrios unidos,malo,1.08
barrios unidos,muy malo,0.15
teusaquillo,muy bueno,29.29
teusaquillo,bueno,62.14
teusaquillo,regular,7.89
teusaquillo,malo,0.58
teusaquillo,muy malo,0.09
los martires,muy bueno,11.42
los martires,bueno,77.26
los martires,regular,10.22
los martires,malo,0.84
los martires,muy malo,0.26
antonio narino,muy bueno,22.31
antonio narino,bueno,65.74
antonio narino,regular,10.06
antonio narino,malo,1.62
antonio narino,muy malo,0.27
puente aranda,muy bueno,19.07
puente aranda,bueno,67.32
puente aranda,regular,11.63
puente aranda,malo,1.04
puente aranda,muy malo,0.94
la candelaria,muy bueno,14.94
la candelaria,bueno,70.31
la candelaria,regular,13.29
la candelaria,malo,1.39
la candelaria,muy malo,0.08
rafael uribe uribe,muy bueno,14.02
rafael uribe uribe,bueno,73.13
rafael uribe uribe,regular,11.75
rafael uribe uribe,malo,1.01
rafael uribe uribe,muy malo,0.08
ciudad bolivar,muy bueno,14.05
ciudad bolivar,bueno,72.92
ciudad bolivar,regular,11.71
ciudad bolivar,malo,1.09
ciudad bolivar,muy malo,0.23
sumapaz,muy bueno,5.68
sumapaz,bueno,59.98
sumapaz,regular,31.41
sumapaz,malo,2.44
sumapaz,muy malo,0.49
distrito,muy bueno,16.52
distrito,bueno,71.51
distrito,regular,10.83
distrito,malo,0.94
distrito,muy malo,0.2
